"data","tipo","assunto","url_mai","url_cne","url_cne2","url_cne3","url_wikipedia"
"2007-02-11","Referendo","Aborto","http://www.eleicoes.mai.gov.pt/referendoIVG2007/","http://eleicoes.cne.pt/raster/index.cfm?dia=11&mes=02&ano=2007&eleicao=re1",,,"http://pt.wikipedia.org/wiki/Referendo_à_despenalização_do_aborto_em_Portugal_(2007)"
1976-06-27,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=27&mes=06&ano=1976&eleicao=alr",,,
1980-10-05,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=05&mes=10&ano=1980&eleicao=alr",,,
1984-10-14,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=10&ano=1984&eleicao=alr",,,
1988-10-09,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=09&mes=10&ano=1988&eleicao=alr",,,
1992-10-11,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=11&mes=10&ano=1992&eleicao=alr",,,
1996-10-13,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=13&mes=10&ano=1996&eleicao=alr",,,
2000-10-15,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=15&mes=10&ano=2000&eleicao=alr",,,
2004-10-17,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=17&mes=10&ano=2004&eleicao=alr",,,
2008-10-19,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=19&mes=10&ano=2008&eleicao=alr",,,
2012-10-14,"Regionais Açores",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=10&ano=2012&eleicao=alr",,,
1976-06-27,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=27&mes=06&ano=1976&eleicao=alrm",,,
1980-10-05,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=05&mes=10&ano=1980&eleicao=alrm",,,
1984-10-14,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=14&mes=10&ano=1984&eleicao=alrm",,,
1988-10-09,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=09&mes=10&ano=1988&eleicao=alrm",,,
1992-10-11,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=11&mes=10&ano=1992&eleicao=alrm",,,
1996-10-13,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=13&mes=10&ano=1996&eleicao=alrm",,,
2000-10-15,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=15&mes=10&ano=2000&eleicao=alrm",,,
2004-10-17,"Regionais Madeira",,,"http://eleicoes.cne.pt/raster/index.cfm?dia=17&mes=10&ano=2004&eleicao=alrm",,,
2007-05-06,"Regionais Madeira",,"http://www.eleicoes.mai.gov.pt/regionais2007/","http://eleicoes.cne.pt/raster/index.cfm?dia=06&mes=05&ano=2007&eleicao=alrm",,,
2011-10-09,"Regionais Madeira",,"http://www.eleicoes.mai.gov.pt/regionais2011/","http://eleicoes.cne.pt/raster/index.cfm?dia=09&mes=10&ano=2011&eleicao=alrm",,,
